epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,0,,,,,0.41075795888900757,2.2234394550323486
0,1,,,,,0.05623471736907959,2.234638214111328
0,1,,,0.21250000596046448,2.195553779602051,,
1,2,,,,,0.07334963232278824,2.530808210372925
1,3,,,,,0.07334963232278824,3.0057334899902344
1,3,,,0.7250000238418579,0.896151065826416,,
2,4,,,,,0.08557457476854324,3.694563627243042
2,5,,,,,0.07334963232278824,4.179557800292969
2,5,,,0.574999988079071,1.3120849132537842,,
3,6,,,,,0.07334963232278824,4.610299110412598
3,7,,,,,0.14180928468704224,5.550124168395996
3,7,,,0.862500011920929,0.6109601855278015,,
4,8,,,,,0.07334963232278824,6.15573787689209
4,9,,,,,0.07334963232278824,6.171517848968506
4,9,,,0.925000011920929,0.420510858297348,,
5,10,,,,,0.173594132065773,5.781806945800781
5,11,,,,,0.20048899948596954,5.702010631561279
5,11,,,0.90625,0.3582807183265686,,
6,12,,,,,0.17848411202430725,6.074212551116943
6,13,,,,,0.21026894450187683,6.765789985656738
6,13,,,0.9624999761581421,0.23456433415412903,,
7,14,,,,,0.27139365673065186,8.008516311645508
7,15,,,,,0.30562347173690796,9.266037940979004
7,15,,,0.9437500238418579,0.2022075653076172,,
8,16,,,,,0.2885085642337799,10.738755226135254
8,17,,,,,0.25916871428489685,12.25057315826416
8,17,,,0.956250011920929,0.1548740565776825,,
9,18,,,,,0.21026894450187683,13.82591724395752
9,19,,,,,0.2078239619731903,16.04880142211914
9,19,,,0.9750000238418579,0.11986993253231049,,
10,20,,,,,0.17848411202430725,17.71820640563965
10,21,,,,,0.15158924460411072,17.78560447692871
10,21,,,0.9624999761581421,0.11882287263870239,,
11,22,,,,,0.14669926464557648,17.154356002807617
11,23,,,,,0.1833740770816803,16.770153045654297
11,23,,,0.981249988079071,0.08194326609373093,,
12,24,,,,,0.1955990195274353,16.853633880615234
12,25,,,,,0.14425428211688995,16.997756958007812
12,25,,,0.96875,0.08338562399148941,,
13,26,,,,,0.09779950976371765,17.462427139282227
13,27,,,,,0.08557457476854324,18.08262062072754
13,27,,,0.9937499761581421,0.029260676354169846,,
14,28,,,,,0.07334963232278824,19.23792839050293
14,29,,,,,0.07334963232278824,20.606948852539062
14,29,,,0.981249988079071,0.04829227179288864,,
15,30,,,,,0.3129584491252899,22.244670867919922
15,31,,,,,0.40586796402931213,25.95597267150879
15,31,,,0.9624999761581421,0.09708982706069946,,
16,32,,,,,0.41075795888900757,30.17382049560547
16,33,,,,,0.41075795888900757,33.212276458740234
16,33,,,0.96875,0.0758880227804184,,
17,34,,,,,0.41075795888900757,36.00233459472656
17,35,,,,,0.41075795888900757,36.49965286254883
17,35,,,0.987500011920929,0.054549992084503174,,
18,36,,,,,0.41075795888900757,37.38326644897461
18,37,,,,,0.41075795888900757,39.02840042114258
18,37,,,0.949999988079071,0.10448948293924332,,
19,38,,,,,0.41075795888900757,40.23772430419922
19,39,,,,,0.41075795888900757,41.555755615234375
19,39,,,0.987500011920929,0.04107571393251419,,
20,40,,,,,0.41075795888900757,42.298255920410156
20,41,,,,,0.41075795888900757,42.2318115234375
20,41,,,0.981249988079071,0.07679164409637451,,
21,42,,,,,0.41075795888900757,42.257164001464844
21,43,,,,,0.41075795888900757,41.79602813720703
21,43,,,1.0,0.010163688100874424,,
22,44,,,,,0.41075795888900757,40.83713912963867
22,45,,,,,0.41075795888900757,39.95423126220703
22,45,,,0.9937499761581421,0.020035848021507263,,
23,46,,,,,0.41075795888900757,38.20988845825195
23,47,,,,,0.41075795888900757,37.03782653808594
23,47,,,0.9750000238418579,0.0829080119729042,,
24,48,,,,,0.41075795888900757,35.720401763916016
