epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,4,,,,,0.07610474526882172,2.310124158859253
0,4,,,0.10781250149011612,2.3034558296203613,,
1,9,,,,,0.07583197206258774,2.30999493598938
1,9,,,0.1015625,2.3034420013427734,,
2,14,,,,,0.07528641819953918,2.309868812561035
2,14,,,0.10000000149011612,2.3033626079559326,,
3,19,,,,,0.07419531047344208,2.3097450733184814
3,19,,,0.1015625,2.303349494934082,,
4,24,,,,,0.07255864888429642,2.3096256256103516
4,24,,,0.10625000298023224,2.303279399871826,,
5,29,,,,,0.07201309502124786,2.309504508972168
5,29,,,0.10000000149011612,2.3032584190368652,,
6,34,,,,,0.0728314220905304,2.3093879222869873
6,34,,,0.10312499850988388,2.3032355308532715,,
7,39,,,,,0.07201309502124786,2.3092684745788574
7,39,,,0.10000000149011612,2.303222894668579,,
8,44,,,,,0.07092198729515076,2.3091518878936768
8,44,,,0.09843750298023224,2.303164005279541,,
9,49,,,,,0.07092198729515076,2.3090403079986572
9,49,,,0.10000000149011612,2.303163766860962,,
10,54,,,,,0.06983087956905365,2.3089213371276855
10,54,,,0.09843750298023224,2.3030753135681152,,
11,59,,,,,0.0692853257060051,2.3088018894195557
11,59,,,0.10312499850988388,2.3030314445495605,,
12,64,,,,,0.06683032959699631,2.308682441711426
12,64,,,0.10312499850988388,2.3030314445495605,,
13,69,,,,,0.0657392218708992,2.3085672855377197
13,69,,,0.1015625,2.302982807159424,,
14,74,,,,,0.06437534093856812,2.308457612991333
14,74,,,0.10000000149011612,2.302948474884033,,
15,79,,,,,0.06437534093856812,2.30834698677063
15,79,,,0.08906249701976776,2.3029353618621826,,
16,84,,,,,0.06301146000623703,2.3082356452941895
16,84,,,0.1015625,2.30289888381958,,
17,89,,,,,0.06164757162332535,2.3081257343292236
17,89,,,0.09687499701976776,2.302910566329956,,
18,94,,,,,0.061102017760276794,2.308023452758789
18,94,,,0.09375,2.3028602600097656,,
19,99,,,,,0.06001091003417969,2.307924509048462
19,99,,,0.09375,2.3028407096862793,,
20,104,,,,,0.05837424844503403,2.3078243732452393
20,104,,,0.09375,2.302767038345337,,
21,109,,,,,0.0575559176504612,2.3077237606048584
21,109,,,0.09687499701976776,2.3027873039245605,,
22,114,,,,,0.05619203671813011,2.3076212406158447
22,114,,,0.08906249701976776,2.302708864212036,,
23,119,,,,,0.05537370592355728,2.307523488998413
23,119,,,0.09062500298023224,2.3027007579803467,,
24,124,,,,,0.05673758685588837,2.3074262142181396
24,124,,,0.09062500298023224,2.302649974822998,,
25,129,,,,,0.06055646389722824,2.3073313236236572
25,129,,,0.09531249850988388,2.302635669708252,,
26,134,,,,,0.06628477573394775,2.3072383403778076
26,134,,,0.1015625,2.3026318550109863,,
27,139,,,,,0.07719585299491882,2.3071446418762207
27,139,,,0.12812499701976776,2.302607297897339,,
28,144,,,,,0.0927441343665123,2.307058095932007
28,144,,,0.14218750596046448,2.3025479316711426,,
29,149,,,,,0.10310965776443481,2.3069663047790527
29,149,,,0.13437500596046448,2.3025383949279785,,
30,154,,,,,0.10883796960115433,2.3068764209747314
30,154,,,0.16562500596046448,2.302495241165161,,
31,159,,,,,0.11129296571016312,2.3067867755889893
31,159,,,0.14218750596046448,2.302495241165161,,
32,164,,,,,0.11238407343626022,2.3066952228546143
32,164,,,0.13750000298023224,2.3024613857269287,,
33,169,,,,,0.10992907732725143,2.30660343170166
33,169,,,0.1328125,2.3024659156799316,,
34,174,,,,,0.10829241573810577,2.3065199851989746
34,174,,,0.15781250596046448,2.3024184703826904,,
35,179,,,,,0.10583742707967758,2.306434154510498
35,179,,,0.15468749403953552,2.3023970127105713,,
36,184,,,,,0.10338243097066879,2.306347608566284
36,184,,,0.15937499701976776,2.302361249923706,,
37,189,,,,,0.10201855003833771,2.3062634468078613
37,189,,,0.15156249701976776,2.30241322517395,,
38,194,,,,,0.09956355392932892,2.306175947189331
38,194,,,0.16562500596046448,2.302273750305176,,
39,199,,,,,0.09710856527090073,2.30609130859375
39,199,,,0.15156249701976776,2.3022804260253906,,
40,204,,,,,0.0962902382016182,2.306013584136963
40,204,,,0.15000000596046448,2.3022663593292236,,
41,209,,,,,0.09574468433856964,2.305935859680176
41,209,,,0.13906249403953552,2.302260398864746,,
42,214,,,,,0.09165302664041519,2.3058550357818604
42,214,,,0.15781250596046448,2.3022141456604004,,
43,219,,,,,0.08947081118822098,2.3057806491851807
43,219,,,0.15156249701976776,2.3021953105926514,,
44,224,,,,,0.08837970346212387,2.305708646774292
44,224,,,0.140625,2.302156925201416,,
45,229,,,,,0.08728859573602676,2.305631399154663
45,229,,,0.13906249403953552,2.3021175861358643,,
46,234,,,,,0.08701582252979279,2.30556321144104
46,234,,,0.13906249403953552,2.302135944366455,,
47,239,,,,,0.08674304187297821,2.3054893016815186
47,239,,,0.13906249403953552,2.3020944595336914,,
48,244,,,,,0.08674304187297821,2.3054230213165283
48,244,,,0.14531250298023224,2.302124500274658,,
49,249,,,,,0.08537916094064713,2.3053536415100098
49,249,,,0.12968750298023224,2.3020596504211426,,
50,250,0.08537916094064713,2.3053536415100098,,,,
