epoch,step,train_acc,train_loss,val_acc,val_loss
0,1,,,0.07640638202428818,2.2997512817382812
0,2,0.15000000596046448,2.324389696121216,,
1,4,,,0.07640638202428818,2.300854444503784
1,5,0.08124999701976776,2.321928024291992,,
2,7,,,0.07682619988918304,2.3013436794281006
2,8,0.10625000298023224,2.349623441696167,,
3,10,,,0.07766582816839218,2.3018641471862793
3,11,0.08124999701976776,2.3128345012664795,,
4,13,,,0.07934508472681046,2.302250385284424
4,14,0.13124999403953552,2.307450532913208,,
5,16,,,0.08186397701501846,2.302339792251587
5,17,0.08124999701976776,2.3367042541503906,,
6,19,,,0.08354324102401733,2.3019826412200928
6,20,0.10000000149011612,2.3390536308288574,,
