epoch,step,train_acc,train_loss,val_acc,val_loss
0,1,,,0.07640638202428818,2.2997512817382812
0,2,0.07500000298023224,2.3294942378997803,,
1,4,,,0.07640638202428818,2.3008761405944824
1,5,0.09375,2.318824291229248,,
2,7,,,0.07682619988918304,2.3013482093811035
2,8,0.11249999701976776,2.3448281288146973,,
3,10,,,0.07766582816839218,2.301922082901001
3,11,0.06875000149011612,2.319819927215576,,
4,13,,,0.07934508472681046,2.302276372909546
4,14,0.13750000298023224,2.3110198974609375,,
5,16,,,0.08186397701501846,2.302356481552124
5,17,0.05624999850988388,2.340489149093628,,
6,19,,,0.08354324102401733,2.3020238876342773
6,20,0.125,2.337449550628662,,
7,22,,,0.08606213331222534,2.301659107208252
7,23,0.125,2.3226158618927,,
8,25,,,0.08900083601474762,2.300865411758423
8,26,0.09375,2.3047187328338623,,
9,28,,,0.0919395461678505,2.3001441955566406
9,29,0.14374999701976776,2.3149049282073975,,
10,31,,,0.09655751287937164,2.29913067817688
10,32,0.13750000298023224,2.3049418926239014,,
11,34,,,0.10033585131168365,2.298041582107544
11,35,0.08124999701976776,2.326141834259033,,
12,37,,,0.10327456146478653,2.297079563140869
12,38,0.13750000298023224,2.334265947341919,,
13,40,,,0.10831234604120255,2.296119213104248
13,41,0.10625000298023224,2.3127875328063965,,
14,43,,,0.10957178473472595,2.2951207160949707
14,44,0.09375,2.3082969188690186,,
15,46,,,0.1141897588968277,2.2942099571228027
15,47,0.14374999701976776,2.277413845062256,,
16,49,,,0.1167086511850357,2.2932050228118896
16,50,0.125,2.304248332977295,,
17,52,,,0.11922754347324371,2.2923412322998047
17,53,0.10625000298023224,2.2935335636138916,,
18,55,,,0.12132661789655685,2.2915477752685547
18,56,0.10000000149011612,2.310300350189209,,
19,58,,,0.12342569231987,2.2907912731170654
19,59,0.10625000298023224,2.3231654167175293,,
20,61,,,0.127204030752182,2.2898950576782227
20,62,0.11249999701976776,2.3203771114349365,,
21,64,,,0.12930311262607574,2.2891688346862793
21,65,0.11874999850988388,2.3142848014831543,,
22,67,,,0.13014273345470428,2.2884559631347656
22,68,0.15625,2.3195183277130127,,
23,70,,,0.13056255877017975,2.2879700660705566
23,71,0.10625000298023224,2.303128957748413,,
24,73,,,0.13685977458953857,2.2870004177093506
24,74,0.13124999403953552,2.2961649894714355,,
25,76,,,0.1376994103193283,2.286613702774048
25,77,0.15000000596046448,2.259887933731079,,
26,79,,,0.14105793833732605,2.285586357116699
26,80,0.10625000298023224,2.3120694160461426,,
27,82,,,0.14147774875164032,2.2852840423583984
27,83,0.10000000149011612,2.3037383556365967,,
28,85,,,0.14273719489574432,2.2844433784484863
28,86,0.125,2.283522844314575,,
29,88,,,0.14273719489574432,2.284003973007202
29,89,0.10000000149011612,2.282632827758789,,
30,91,,,0.14273719489574432,2.2829084396362305
30,92,0.08124999701976776,2.3081588745117188,,
31,94,,,0.14483627676963806,2.282622814178467
31,95,0.11249999701976776,2.3077521324157715,,
32,97,,,0.14525608718395233,2.2819104194641113
32,98,0.13750000298023224,2.2744839191436768,,
33,100,,,0.14525608718395233,2.2813498973846436
33,101,0.13750000298023224,2.2862155437469482,,
34,103,,,0.14651553332805634,2.2810258865356445
34,104,0.11874999850988388,2.3171486854553223,,
35,106,,,0.1469353437423706,2.280369758605957
35,107,0.16249999403953552,2.2817931175231934,,
36,109,,,0.14903442561626434,2.279275417327881
36,110,0.15625,2.304577589035034,,
37,112,,,0.1481947898864746,2.2790091037750244
37,113,0.11874999850988388,2.293586254119873,,
38,115,,,0.14903442561626434,2.2785067558288574
38,116,0.14374999701976776,2.2861862182617188,,
39,118,,,0.15155331790447235,2.277754783630371
39,119,0.10000000149011612,2.2938449382781982,,
40,121,,,0.15449202060699463,2.277278423309326
40,122,0.10625000298023224,2.2931013107299805,,
41,124,,,0.1536523997783661,2.27659010887146
41,125,0.07500000298023224,2.30560302734375,,
42,127,,,0.1561712920665741,2.276066303253174
42,128,0.13124999403953552,2.2729885578155518,,
43,130,,,0.15785054862499237,2.2752737998962402
43,131,0.11249999701976776,2.270235061645508,,
44,133,,,0.1574307233095169,2.27522611618042
44,134,0.13750000298023224,2.2670223712921143,,
45,136,,,0.1574307233095169,2.2743074893951416
45,137,0.125,2.2779836654663086,,
46,139,,,0.15785054862499237,2.273710012435913
46,140,0.14374999701976776,2.28391432762146,,
47,142,,,0.1574307233095169,2.2730207443237305
47,143,0.14374999701976776,2.2975471019744873,,
48,145,,,0.15952980518341064,2.2724266052246094
48,146,0.09375,2.2979495525360107,,
49,148,,,0.1586901694536209,2.271602153778076
49,149,0.16875000298023224,2.264087677001953,,
