epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,4,,,,,0.32494279742240906,2.2146079540252686
0,4,,,0.36250001192092896,1.8059203624725342,,
1,9,,,,,0.4771167039871216,1.6114144325256348
1,9,,,0.640625,1.1553013324737549,,
2,14,,,,,0.4759725332260132,2.0749659538269043
2,14,,,0.6421874761581421,0.8578554391860962,,
3,19,,,,,0.4691075384616852,5.512154579162598
3,19,,,0.8031250238418579,0.6401313543319702,,
4,24,,,,,0.45881006121635437,7.528176307678223
4,24,,,0.8500000238418579,0.4635966718196869,,
5,29,,,,,0.493135005235672,10.418387413024902
5,29,,,0.918749988079071,0.305140882730484,,
6,34,,,,,0.4771167039871216,13.951132774353027
6,34,,,0.9593750238418579,0.15198788046836853,,
7,39,,,,,0.46224257349967957,16.41101837158203
7,39,,,0.9781249761581421,0.09061641991138458,,
8,44,,,,,0.464530885219574,15.227574348449707
8,44,,,0.9984375238418579,0.02769653871655464,,
9,49,,,,,0.5308924317359924,16.40165901184082
9,49,,,0.995312511920929,0.016574101522564888,,
10,54,,,,,0.4954233467578888,19.69902801513672
10,54,,,0.9921875,0.01857132278382778,,
11,59,,,,,0.4908466935157776,21.391279220581055
11,59,,,0.995312511920929,0.010781128890812397,,
12,64,,,,,0.493135005235672,22.050413131713867
12,64,,,0.9984375238418579,0.004447604529559612,,
13,69,,,,,0.4965675175189972,22.392488479614258
13,69,,,0.9984375238418579,0.0065679303370416164,,
14,74,,,,,0.5102974772453308,22.18862533569336
14,74,,,0.996874988079071,0.014945280738174915,,
15,79,,,,,0.5377574563026428,23.09262466430664
15,79,,,0.996874988079071,0.014732430689036846,,
16,84,,,,,0.5457665920257568,23.951833724975586
16,84,,,0.995312511920929,0.011627170257270336,,
17,89,,,,,0.5549198985099792,23.875978469848633
17,89,,,0.996874988079071,0.0037606991827487946,,
18,94,,,,,0.5629290342330933,24.889780044555664
18,94,,,1.0,6.000036228215322e-05,,
19,99,,,,,0.5858123302459717,24.660385131835938
19,99,,,0.9937499761581421,0.021551163867115974,,
20,104,,,,,0.6098397970199585,24.007034301757812
20,104,,,0.9984375238418579,0.0031473510898649693,,
21,109,,,,,0.6212814450263977,24.50403594970703
21,109,,,1.0,0.00016404184862039983,,
22,114,,,,,0.6281464695930481,25.519651412963867
22,114,,,0.996874988079071,0.008661807514727116,,
23,119,,,,,0.5812357068061829,26.18887710571289
23,119,,,0.989062488079071,0.05204349011182785,,
24,124,,,,,0.42677345871925354,23.69600486755371
24,124,,,0.9921875,0.12757986783981323,,
25,129,,,,,0.5697940587997437,20.296825408935547
25,129,,,0.996874988079071,0.03978052735328674,,
26,134,,,,,0.6395881175994873,24.687406539916992
26,134,,,1.0,0.00015332779730670154,,
27,139,,,,,0.6315789222717285,29.568748474121094
27,139,,,0.996874988079071,0.04398919269442558,,
28,144,,,,,0.6052631735801697,34.8924446105957
28,144,,,0.9937499761581421,0.020163286477327347,,
29,149,,,,,0.5446224212646484,39.298179626464844
29,149,,,0.9906250238418579,0.15462516248226166,,
30,154,,,,,0.3970251679420471,45.40662384033203
30,154,,,0.9921875,0.02182617411017418,,
31,159,,,,,0.32494279742240906,52.9465446472168
31,159,,,0.9984375238418579,0.017566625028848648,,
32,164,,,,,0.32723110914230347,56.4585075378418
32,164,,,0.9921875,0.05641689896583557,,
33,169,,,,,0.3409610986709595,59.27241134643555
33,169,,,0.9984375238418579,0.007858163677155972,,
34,174,,,,,0.3455377519130707,64.34494018554688
34,174,,,0.9984375238418579,0.008230028674006462,,
35,179,,,,,0.3638443946838379,69.20182800292969
35,179,,,0.9984375238418579,0.02567894384264946,,
36,184,,,,,0.3867276906967163,72.81391143798828
36,184,,,0.9937499761581421,0.06830704212188721,,
37,189,,,,,0.3993135094642639,73.14946746826172
37,189,,,0.9921875,0.05728434771299362,,
38,194,,,,,0.40732264518737793,68.57190704345703
38,194,,,0.9921875,0.1320197880268097,,
39,199,,,,,0.6086956262588501,49.13601303100586
39,199,,,0.9937499761581421,0.14976933598518372,,
40,204,,,,,0.6979405283927917,38.03340148925781
40,204,,,1.0,0.0007372437976300716,,
41,209,,,,,0.5652173757553101,32.619625091552734
41,209,,,0.9906250238418579,0.21950992941856384,,
42,214,,,,,0.43478259444236755,43.78126525878906
42,214,,,0.973437488079071,0.19969885051250458,,
43,219,,,,,0.44622424244880676,52.118125915527344
43,219,,,0.984375,0.1743849515914917,,
44,224,,,,,0.42219680547714233,54.59573745727539
44,224,,,0.981249988079071,0.5775941014289856,,
45,229,,,,,0.4016018211841583,65.11724853515625
45,229,,,0.9906250238418579,0.17836523056030273,,
46,234,,,,,0.3821510374546051,78.93638610839844
46,234,,,0.9906250238418579,0.20821230113506317,,
47,239,,,,,0.3684210479259491,93.23110961914062
47,239,,,0.9921875,0.09745804965496063,,
48,244,,,,,0.34210526943206787,111.24644470214844
48,244,,,0.9859374761581421,0.2792021632194519,,
49,249,,,,,0.32608696818351746,121.18524932861328
49,249,,,0.987500011920929,0.13882219791412354,,
50,250,0.4771167039871216,1.6114144325256348,,,,
